Player,Team,Number,Position,Height,Weight,Last Attended,Country
PreciousAchiuwa,NYK,5,F,6-8,243lbs,Memphis,Nigeria
StevenAdams,HOU,12,C,6-11,265lbs,Pittsburgh,New Zealand
BamAdebayo,MIA,13,C-F,6-9,255lbs,Kentucky,USA
OchaiAgbaji,TOR,30,G,6-5,215lbs,Kansas,USA
SantiAldama,MEM,7,F-C,7-0,215lbs,Loyola-Maryland,Spain
TreyAlexander,DEN,23,G,6-4,185lbs,Creighton,USA
NickeilAlexander-Walker,MIN,9,G,6-5,205lbs,Virginia Tech,Canada
GraysonAllen,PHX,8,G,6-4,198lbs,Duke,USA
JarrettAllen,CLE,31,C,6-9,243lbs,Texas,USA
JoseAlvarado,NOP,15,G,6-0,179lbs,Georgia Tech,USA
KyleAnderson,MIA,20,F-G,6-9,230lbs,UCLA,USA
GiannisAntetokounmpo,MIL,34,F,6-11,243lbs,Filathlitikos,Greece
ColeAnthony,ORL,50,G,6-2,185lbs,North Carolina,USA
OGAnunoby,NYK,8,F-G,6-7,240lbs,Indiana,United Kingdom
TaranArmstrong,GSW,,G,6-5,190lbs,"Cairns, Australia",Australia
DeniAvdija,POR,8,F,6-9,240lbs,Maccabi Tel Aviv,Israel
DeandreAyton,POR,2,C,7-0,252lbs,Arizona,Bahamas
MarvinBagley III,MEM,35,F,6-10,235lbs,Duke,USA
PatrickBaldwin Jr.,LAC,23,F,6-9,220lbs,Wisconsin-Milwaukee,USA
LaMeloBall,CHA,1,G,6-7,180lbs,Illawarra,USA
LonzoBall,CHI,2,G,6-6,190lbs,UCLA,USA
MoBamba,,,C,7-0,231lbs,Texas,USA
PaoloBanchero,ORL,5,F,6-10,250lbs,Duke,USA
DesmondBane,MEM,22,G,6-5,215lbs,TCU,USA
DalanoBanton,POR,5,F,6-8,203lbs,Nebraska,Canada
DominickBarlow,ATL,26,F,6-8,215lbs,Overtime Elite,USA
HarrisonBarnes,SAS,40,F,6-8,225lbs,North Carolina,USA
ScottieBarnes,TOR,4,F-G,6-7,237lbs,Florida State,USA
RJBarrett,TOR,9,F-G,6-6,214lbs,Duke,Canada
CharlesBassey,SAS,28,C-F,6-10,230lbs,Western Kentucky,Nigeria
EmoniBates,CLE,21,F,6-8,170lbs,Eastern Michigan,USA
JamisonBattle,TOR,77,F,6-7,220lbs,Ohio State,USA
NicolasBatum,LAC,33,G-F,6-8,230lbs,Le Mans,France
DamionBaugh,CHA,7,G,6-4,194lbs,TCU,USA
BradleyBeal,PHX,3,G,6-4,207lbs,Florida,USA
MalikBeasley,DET,5,G,6-4,187lbs,Florida State,USA
MarJonBeauchamp,NYK,0,F,6-7,199lbs,NBA G League Ignite,USA
ReeceBeekman,BKN,4,G,6-3,190lbs,Virginia,USA
SaddiqBey,WAS,14,G-F,6-7,215lbs,Villanova,USA
GogaBitadze,ORL,35,C-F,6-10,250lbs,Mega Basket,Georgia
BismackBiyombo,SAS,15,C,6-8,255lbs,Baloncesto Fuenlabrada,DRC
AnthonyBlack,ORL,0,G,6-7,200lbs,Arkansas,USA
BogdanBogdanović,LAC,10,G,6-5,225lbs,Fenerbahce,Serbia
BolBol,PHX,11,C-F,7-3,220lbs,Oregon,Sudan
AdemBona,PHI,30,F,6-10,235lbs,UCLA,Nigeria
DevinBooker,PHX,1,G,6-6,206lbs,Kentucky,USA
BrandonBoston,NOP,11,G,6-6,188lbs,Kentucky,USA
ChrisBoucher,TOR,25,F,6-9,200lbs,Oregon,Saint Lucia
JamareeBouyea,MIL,21,G,6-2,180lbs,San Francisco,USA
TonyBradley,IND,13,C-F,6-11,248lbs,North Carolina,USA
"<td class=""primary text RosterRow_primaryCol__1lto4""><a class=""Anchor_anchor__cSc3P RosterRow_playerLink__qw1vG"" data-has-children=""true"" data-has-more=""false"" data-is-external=""false"" href=""/player/1628396/tony-bradley/""><div class=""RosterRow_playerHeadshot__tvZOn""><img alt=""Tony Bradley Headshot"" class=""PlayerImage_image__wH_YX PlayerImage_round__bIjPr"" loading=""lazy"" src=""https://cdn.nba.com/headshots/nba/latest/260x190/1628396.png""/></div><div class=""RosterRow_playerName__G28lg""><p class=""RosterRow_playerFirstName__NYm50"">Tony</p><p>Bradley</p></div></a></td>","<td class=""text""><a class=""Anchor_anchor__cSc3P RosterRow_team__AunTP"" data-has-children=""false"" data-has-more=""false"" data-is-external=""false"" href=""/team/1610612754/pacers/"">IND</a></td>",<td>13</td>,"<td class=""text"">C-F</td>",<td>6-11</td>,"<td class=""text"">248<!-- --> <!-- -->lbs</td>","<td class=""text"">North Carolina</td>","<td class=""text"">USA</td>"
